ریسپی_آئی_ڈی,قدم_نمبر,ہدایت,تخمینہ_وقت_منٹ
RCP۰۰۰۳۵,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور شملہ مرچ آلو کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۵,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۶,۱,شملہ مرچ مصالحہ کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۶,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۶,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۳۶,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور شملہ مرچ مصالحہ کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۶,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۷,۱,مکئی پالک کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۷,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۷,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۳۷,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور مکئی پالک کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۷,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۸,۱,کارن مصالحہ کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۸,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۸,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۳۸,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور کارن مصالحہ کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۸,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۹,۱,کارن آلو سالن کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۹,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۹,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۳۹,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور کارن آلو سالن کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۹,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۴۰,۱,سبزی چاول کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۴۰,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۴۰,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۴۰,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے سبزی چاول کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۴۰,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۴۱,۱,لیموں چاول کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۴۱,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۴۱,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۴۱,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے لیموں چاول کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۴۱,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۴۲,۱,ٹماٹر چاول کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۴۲,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۴۲,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۴۲,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے ٹماٹر چاول کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۴۲,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۴۳,۱,لہسن چاول کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۴۳,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۴۳,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۴۳,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے لہسن چاول کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۴۳,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۴۴,۱,زیرا چاول کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۴۴,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۴۴,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۴۴,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے زیرا چاول کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۴۴,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۴۵,۱,چکن فرائیڈ رائس کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۴۵,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۴۵,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۴۵,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے چکن فرائیڈ رائس کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۴۵,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۴۶,۱,ایگ فرائیڈ رائس کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۴۶,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۴۶,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۴۶,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے ایگ فرائیڈ رائس کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۴۶,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۴۷,۱,انڈہ سالن کے لیے انڈے اور کٹی ہوئی تازہ سبزیاں تیار کریں۔,۵
RCP۰۰۰۴۷,۲,درمیانی آنچ پر پین میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۴۷,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۴۷,۴,انڈے (ابلے ہوئے یا پھینٹے ہوئے)، ٹماٹر اور مصالحے شامل کریں اور انڈہ سالن کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۴۷,۵,ہلکی آنچ پر پکائیں جب تک مکمل تیار ہو جائے، تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۴۸,۱,انڈہ بھورجی کے لیے انڈے اور کٹی ہوئی تازہ سبزیاں تیار کریں۔,۵
RCP۰۰۰۴۸,۲,درمیانی آنچ پر پین میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۴۸,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۴۸,۴,انڈے (ابلے ہوئے یا پھینٹے ہوئے)، ٹماٹر اور مصالحے شامل کریں اور انڈہ بھورجی کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۴۸,۵,ہلکی آنچ پر پکائیں جب تک مکمل تیار ہو جائے، تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
